ANO,COD_MUNICIPIO,NOME_MUNICIPIO,DEPENDENCIA_ADM,MEDIA_GERAL_CN,MEDIA_GERAL_CH,MEDIA_GERAL_LC,MEDIA_GERAL_MT,MEDIA_GERAL_REDACAO,MEDIA_CN_F,MEDIA_CH_F,MEDIA_LC_F,MEDIA_MT_F,MEDIA_REDACAO_F,MEDIA_CN_M,MEDIA_CH_M,MEDIA_LC_M,MEDIA_MT_M,MEDIA_REDACAO_M,TAXA_APROVACAO_3S,NOTA_SAEB_MT,NOTA_SAEB_LC,IDEB,PIB_MUNICIPIO,PIB_PER_CAPITA,VALOR_ADM_PUBLICA,ACESSO_A_INTERNET(%),ALUNOS_COM_ACESSO_A_INTERNET(%),ESCOLAS_COM_LABORATÓRIO_DE_INFORMÁTICA(%),ESCOLAS_COM_DESKTOP_PARA_ALUNOS(%),ESCOLAS_COM COMPUTADOR_PORTATIL_PARA_ALUNOS(%),ESCOLAS_COM_TABLET_PARA _ALUNOS(%),ESCOLAS_COM_EQUIPAMENTOS_PARA_ACESSO_A_INTERNET_DOS_ALUNOS(%),ESCOLAS_COM_ATENDIMENTO_EDUCACIONAL_ESPECIALIZADO(%),ESCOLAS_COM_EJA_NO_ENSINO_MEDIO(%),TOTAL_DE_ESCOLAS_POR_DEPENDENCIA
2017,2501104,Areia,2,480.13,485.56,471.46,473.39,517.89,474.88,474.99,470.61,464.2,529.54,487.09,499.59,472.59,485.59,502.45,89.6,263.96,256.46,3.4,232703.478,10217.05,100562.423,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,3
2017,2501153,Areia de Baraúnas,2,450.06,435.16,439.7,432.0,380.0,460.04,428.96,463.66,439.21,340.0,440.07,441.36,415.74,424.79,420.0,100.0,240.83,226.41,3.3,18677.629,8785.34,13858.421,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,1
2017,2501203,Areial,2,489.92,494.1,482.76,450.27,492.5,470.34,458.02,484.91,452.58,488.89,501.67,515.75,481.47,448.88,494.67,92.5,251.6,266.5,3.0,52057.352,7463.42,33341.703,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,1
2017,2501203,Areial,3,490.66,417.36,486.2,477.73,511.43,478.2,407.38,500.22,475.52,528.0,521.8,442.3,451.15,483.25,470.0,92.5,251.6,266.5,3.0,52057.352,7463.42,33341.703,,,,,,,,,,
2017,2501302,Aroeiras,2,461.98,469.84,470.89,455.21,526.51,461.54,476.84,471.65,460.74,550.34,462.98,453.59,469.12,442.36,471.2,95.7,224.04,233.17,2.9,141195.402,7371.59,89596.422,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,1
2017,2501351,Assunção,2,477.53,474.14,472.39,460.29,552.31,485.87,467.61,486.51,444.99,548.57,467.8,481.75,455.92,478.15,556.67,100.0,247.56,257.11,3.6,36966.227,9427.75,21501.405,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2017,2501401,Baía da Traição,2,481.5,475.82,450.53,468.05,401.32,474.85,474.91,450.23,463.16,406.15,488.52,476.79,450.85,473.19,396.22,92.2,222.88,226.66,3.0,79806.381,8798.94,42919.816,100.0,0.0,66.67,0.0,0.0,0.0,0.0,33.33,66.67,3
2017,2501500,Bananeiras,1,517.29,519.82,495.3,492.3,519.67,499.41,514.47,502.41,457.99,547.14,522.61,521.41,493.19,502.52,511.49,,,,,232449.827,10987.42,101488.717,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,1
2017,2501500,Bananeiras,2,488.32,486.14,481.11,483.58,529.33,481.36,482.73,480.14,474.2,554.43,500.64,492.16,482.83,500.2,484.92,82.5,235.59,235.02,2.5,232449.827,10987.42,101488.717,100.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,2
2017,2501534,Baraúna,2,497.37,481.77,470.84,472.15,513.1,490.43,473.06,476.15,466.31,501.82,519.2,509.11,454.14,490.5,548.57,87.8,253.66,262.67,3.0,40503.018,8223.96,26052.697,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
